Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,558
design__inferred_latch__count,0
design__instance__count,49694
design__instance__area,447940
design__instance_unmapped__count,0
synthesis__check_error__count,0
synthesis__max_fanout,145
synthesis__high_fanout_net__count,9
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.05127875134348869
power__switching__total,0.018288860097527504
power__leakage__total,3.394811756152194E-7
power__total,0.0695679560303688
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.4388190490739685
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.41505183797982037
timing__hold__ws__corner:nom_tt_025C_1v80,0.2408393552757078
timing__setup__ws__corner:nom_tt_025C_1v80,2.0673991992405187
timing__hold__tns__corner:nom_tt_025C_1v80,0
timing__setup__tns__corner:nom_tt_025C_1v80,0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.240839
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,2.434898
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.696335342429983
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.6404769118568381
timing__hold__ws__corner:nom_ss_100C_1v60,0.13636059334316916
timing__setup__ws__corner:nom_ss_100C_1v60,0.18246071836538752
timing__hold__tns__corner:nom_ss_100C_1v60,0
timing__setup__tns__corner:nom_ss_100C_1v60,0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.506176
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,0.244019
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.33111375689601175
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.32169740004634073
timing__hold__ws__corner:nom_ff_n40C_1v95,0.13905232914250035
timing__setup__ws__corner:nom_ff_n40C_1v95,2.6100786715159727
timing__hold__tns__corner:nom_ff_n40C_1v95,0
timing__setup__tns__corner:nom_ff_n40C_1v95,0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.139052
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,3.300134
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.33111375689601175
clock__skew__worst_setup,0.31562695017618686
timing__hold__ws,0.0735891368670771
timing__setup__ws,0.053598460520301594
timing__hold__tns,0
timing__setup__tns,0
timing__hold__wns,0
timing__setup__wns,0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.137943
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,0.107065
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 758.08 654.52
design__core__bbox,11.04 10.88 747.04 641.92
design__io,254
design__die__area,496179
design__core__area,464445
design__instance__count__stdcell,27098
design__instance__area__stdcell,242992
design__instance__count__macros,2
design__instance__area__macros,137642
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.819545
design__instance__utilization__stdcell,0.743542
design__rows,155
design__rows:unithd,155
design__sites,248000
design__sites:unithd,248000
design__instance__count__class:macro,2
design__instance__area__class:macro,137642
design__instance__count__class:buffer,73
design__instance__area__class:buffer,335.322
design__instance__count__class:inverter,1493
design__instance__area__class:inverter,5665.43
design__instance__count__class:sequential_cell,4698
design__instance__area__class:sequential_cell,100727
design__instance__count__class:multi_input_combinational_cell,14097
design__instance__area__class:multi_input_combinational_cell,118904
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,22594
design__instance__area__class:fill_cell,67305.8
design__instance__count__class:tap_cell,4474
design__instance__area__class:tap_cell,5597.87
flow__warnings__count:PDN-0110,2
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
design__instance__count__class:timing_repair_buffer,1717
design__instance__area__class:timing_repair_buffer,8814.7
flow__warnings__count:GPL-0302,1
flow__warnings__count:GRT-0281,1
design__max_slew_violation__count__corner:max_ss_100C_1v60,0
design__max_fanout_violation__count__corner:max_ss_100C_1v60,0
design__max_cap_violation__count__corner:max_ss_100C_1v60,0
clock__skew__worst_hold__corner:max_ss_100C_1v60,-0.7008948619876167
clock__skew__worst_setup__corner:max_ss_100C_1v60,0.6470986707410372
timing__hold__ws__corner:max_ss_100C_1v60,0.0735891368670771
timing__setup__ws__corner:max_ss_100C_1v60,0.053598460520301594
timing__hold__tns__corner:max_ss_100C_1v60,0
timing__setup__tns__corner:max_ss_100C_1v60,0
timing__hold__wns__corner:max_ss_100C_1v60,0
timing__setup__wns__corner:max_ss_100C_1v60,0
timing__hold_vio__count__corner:max_ss_100C_1v60,0
timing__hold_r2r__ws__corner:max_ss_100C_1v60,0.519485
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,0
timing__setup_r2r__ws__corner:max_ss_100C_1v60,0.107065
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,120.22
design__instance__displacement__mean,0.004
design__instance__displacement__max,5.94
route__wirelength__estimated,510081
design__violations,0
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,12
design__instance__count__class:clock_buffer,340
design__instance__area__class:clock_buffer,2432.33
design__instance__count__setup_buffer,20
