Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,529
design__inferred_latch__count,0
design__instance__count,55146
design__instance__area,447940
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.008294959552586079
power__switching__total,0.004433420952409506
power__leakage__total,3.446987477673247E-7
power__total,0.012728724628686905
clock__skew__worst_hold__corner:nom_tt_025C_1v80,0.6198889910170743
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.8043676508090917
timing__hold__ws__corner:nom_tt_025C_1v80,0.28184422260460773
timing__setup__ws__corner:nom_tt_025C_1v80,3.522501057209905
timing__hold__tns__corner:nom_tt_025C_1v80,0
timing__setup__tns__corner:nom_tt_025C_1v80,0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.281844
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,5.372079
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,4
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,1.1591752330552483
clock__skew__worst_setup__corner:nom_ss_100C_1v60,1.3693779830999626
timing__hold__ws__corner:nom_ss_100C_1v60,0.5309672851682304
timing__setup__ws__corner:nom_ss_100C_1v60,0.6678195963029128
timing__hold__tns__corner:nom_ss_100C_1v60,0
timing__setup__tns__corner:nom_ss_100C_1v60,0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.530967
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,0.66782
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,0.4015405621658853
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.575333130754633
timing__hold__ws__corner:nom_ff_n40C_1v95,0.15366708340739446
timing__setup__ws__corner:nom_ff_n40C_1v95,3.9878084185771847
timing__hold__tns__corner:nom_ff_n40C_1v95,0
timing__setup__tns__corner:nom_ff_n40C_1v95,0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.153667
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,7.023477
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,6
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,1.1771134400383516
clock__skew__worst_setup,0.5651381189646193
timing__hold__ws,0.1521640079229958
timing__setup__ws,0.5797540389637222
timing__hold__tns,0
timing__setup__tns,0
timing__hold__wns,0
timing__setup__wns,0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.152164
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,0.579754
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 758.08 662.76
design__core__bbox,11.04 10.88 747.04 650.08
design__io,254
design__die__area,502425
design__core__area,470451
design__instance__count__stdcell,20891
design__instance__area__stdcell,197872
design__instance__count__macros,2
design__instance__area__macros,137642
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.713176
design__instance__utilization__stdcell,0.594552
design__rows,155
design__rows:unithd,155
design__sites,248000
design__sites:unithd,248000
design__instance__count__class:macro,2
design__instance__area__class:macro,137642
design__instance__count__class:buffer,5
design__instance__area__class:buffer,25.024
design__instance__count__class:inverter,285
design__instance__area__class:inverter,1069.78
design__instance__count__class:clock_gate_cell,53
design__instance__area__class:clock_gate_cell,994.704
design__instance__count__class:sequential_cell,2191
design__instance__area__class:sequential_cell,49716.4
design__instance__count__class:multi_input_combinational_cell,11931
design__instance__area__class:multi_input_combinational_cell,122406
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,34253
design__instance__area__class:fill_cell,112425
design__instance__count__class:tap_cell,4474
design__instance__area__class:tap_cell,5597.87
flow__warnings__count:PDN-0110,2
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
design__instance__count__class:timing_repair_buffer,1043
design__instance__area__class:timing_repair_buffer,5438.97
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,7.36
design__instance__displacement__mean,0
design__instance__displacement__max,5.06
route__wirelength__estimated,506172
design__violations,0
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,12
design__instance__count__class:clock_buffer,428
design__instance__area__class:clock_buffer,9755.61
design__instance__count__class:clock_inverter,135
design__instance__area__class:clock_inverter,2001.92
flow__warnings__count:CTS-0132,1
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,2
global_route__vias,46
global_route__wirelength,842338
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
flow__warnings__count:EST-0026,1001
antenna_diodes_count,281
design__instance__count__class:antenna_cell,346
design__instance__area__class:antenna_cell,865.83
route__net,16034
route__net__special,2
route__drc_errors__iter:0,60
route__wirelength__iter:0,564761
route__drc_errors__iter:1,9
route__wirelength__iter:1,564749
route__drc_errors__iter:2,7
route__wirelength__iter:2,564755
route__drc_errors__iter:3,0
route__wirelength__iter:3,564741
route__drc_errors__iter:4,7
route__wirelength__iter:4,564725
route__drc_errors__iter:5,0
route__wirelength__iter:5,564744
route__drc_errors__iter:6,6
route__wirelength__iter:6,564160
route__drc_errors__iter:7,0
route__wirelength__iter:7,564152
route__drc_errors,0
route__wirelength,564741
route__vias,135803
route__vias__singlecut,135803
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
flow__warnings__count:GRT-0243,1
design__disconnected_pin__count,4
